а	a
аа	a a
аалы	a a l ih
аарчы	a a r tsh ih
аарчып	a a r tsh ih p
аарчысы	a a r tsh ih s ih
аарчысын	a a r tsh ih s ih n
аарчысына	a a r tsh ih s ih n a
аба	a w a
абага	a w a gh a
абаеына	a w a e ih n a
абайлаган	a w a j l a gh a n
абайлай	a w a j l a j
абайлап	a w a j l a p
абайласа	a w a j l a s a
абайлаңыз	a w a j l a ng ih z
абаке	a w a k e
абал	a w a l
абалга	a w a l gh a
абалда	a w a l d a
абалдан	a w a l d a n
абалдарды	a w a l d a r d ih
абалы	a w a l ih
абалымды	a w a l ih m d ih
абалын	a w a l ih n
абасы	a w a s ih
абдан	a b d a n
абдыракман	a b d ih r a q m a n
абдыракманга	a b d ih r a q m a n gh a
абдыракмандай	a b d ih r a q m a n d a j
абдыракмандан	a b d ih r a q m a n d a n
абдыракманды	a b d ih r a q m a n d ih
абдыракмандын	a b d ih r a q m a n d ih n
абдыраман	a b d ih r a m a n
абдыраманга	a b d ih r a m a n gh a
абдырамандын	a b d ih r a m a n d ih n
абдырахман	a b d ih r a h m a n
абеилденин	a b e i l d e n i n
абжалбек	a b zh a l b e к
абийир	a b i j i r
абийирден	a b i j i r d e n
абийирдүү	a b i j i r d y y
абийири	a b i j i r i
абийирим	a b i j i r i m
абийирин	a b i j i r i n
абийириңди	a b i j i r i ng d i
абийириңен	a b i j i r i ng e n
абийриң	a b i j r i ng
абыдан	a w ih d a n
абыл	a w ih l
абыпгкалар	a w ih p гq a l a r
абысынажындары	a w ih s ih n a zh ih n d a r ih
абысындары	a w ih s ih n d a r ih
абысындын	a w ih s ih n d ih n
абыш	a w ih sh
абышка	a w ih sh q a
абышкага	a w ih sh q a gh a
абышкакемпирлер	a w ih sh q a k e m p i r l e r
абышкалар	a w ih sh q a l a r
абышкалардын	a w ih sh q a l a r d ih n
абышкалары	a w ih sh q a l a r ih
абышканы	a w ih sh q a n ih
абышканын	a w ih sh q a n ih n
абышкаоы	a w ih sh q a o ih
абышкасы	a w ih sh q a s ih
абышкасын	a w ih sh q a s ih n
абышкасына	a w ih sh q a s ih n a
абышкд	a w ih sh кd
абыштын	a w ih sh t ih n
абыщканын	a w ih sh q a n ih n
аваз	a вa z
авасып	a вa s ih p
автор	a вt o r
авторго	a вt o r gh o
автордун	a вt o r d u n
ага	a gh a
ага9	a gh a 9
агайиндер	a gh a j i n d e r
агайынтууган	a gh a j ih n t u u gh a n
агайынтууганынын	a gh a j ih n t u u gh a n ih n ih n
агалары	a gh a l a r ih
агаларын	a gh a l a r ih n
аганын	a gh a n ih n
агарган	a gh a r gh a n
агартуу	a gh a r t u u
агарып	a gh a r ih p
агасы	a gh a s ih
агасыбы	a gh a s ih w ih
агасын	a gh a s ih n
агасына	a gh a s ih n a
агасындай	a gh a s ih n d a j
агасынын	a gh a s ih n ih n
агат	a gh a t
агаң	a gh a ng
агаңа	a gh a ng a
агаңдын	a gh a ng d ih n
агызуу	a gh ih z u u
агызып	a gh ih z ih p
агылтөгүл	a gh ih l t oe g y l
агылып	a gh ih l ih p
агылыптөгүлө	a gh ih l ih p t oe g y l oe
агым	a gh ih m
агымдан	a gh ih m d a n
агымды	a gh ih m d ih
агымы	a gh ih m ih
агымына	a gh ih m ih n a
агымындай	a gh ih m ih n d a j
агынан	a gh ih n a n
агындай	a gh ih n d a j
агындыларга	a gh ih n d ih l a r gh a
агып	a gh ih p
агытышса	a gh ih t ih sh s a
агышы	a gh ih sh ih
агышына	a gh ih sh ih n a
адабий	a d a b i j
адабият	a d a b i j a t
адал	a d a l
адалдан	a d a l d a n
адам	a d a m
адамга	a d a m gh a
адамгерчилиги	a d a m g e r tsh i l i g i
адамгерчилигине	a d a m g e r tsh i l i g i n e
адамдай	a d a m d a j
адамдар	a d a m d a r
адамдарга	a d a m d a r gh a
адамдарды	a d a m d a r d ih
адамдардын	a d a m d a r d ih n
адамдары	a d a m d a r ih
адамдарын	a d a m d a r ih n
адамдарына	a d a m d a r ih n a
адамды	a d a m d ih
адамдын	a d a m d ih n
адамкалый	a d a m q a l ih j
адамкерчилиги	a d a m k e r tsh i l i g i
адамкерчилигин	a d a m k e r tsh i l i g i n
адамкерчилик	a d a m k e r tsh i l i к
адамкерчиликти	a d a m k e r tsh i l i k t i
адат	a d a t
адатта	a d a t t a
адаттагыдай	a d a t t a gh ih d a j
адаттан	a d a t t a n
адаттын	a d a t t ih n
адаты	a d a t ih
адатын	a d a t ih n
адатына	a d a t ih n a
адатынча	a d a t ih n tsh a
адашабы	a d a sh a w ih
адашам	a d a sh a m
адашкан	a d a sh q a n
адаштырып	a d a sh t ih r ih p
адашып	a d a sh ih p
адегенде	a d e g e n d e
адепсиздикке	a d e p s i z d i k k e
адептүүлүк	a d e p t y y l y к
адетин	a d e t i n
адеттен	a d e t t e n
адилдигине	a d i l d i g i n e
адилетсиздигинен	a d i l e t s i z d i g i n e n
адилеттик	a d i l e t t i к
адис	a d i s
адистиги	a d i s t i g i
администраторго	a d m i n i s t r a t o r gh o
администрацияны	a d m i n i s t r a ts i j a n ih
адресин	a d r e s i n
адырга	a d ih r gh a
адырдан	a d ih r d a n
адырды	a d ih r d ih
адырдын	a d ih r d ih n
адырлуу	a d ih r l u u
адышпады	a d ih sh p a d ih
ажаан	a zh a a n
ажаанданып	a zh a a n d a n ih p
ажайып	a zh a j ih p
ажал	a zh a l
ажалга	a zh a l gh a
ажалдан	a zh a l d a n
ажалындай	a zh a l ih n d a j
ажап	a zh a p
ажардуу	a zh a r d u u
ажарлуу	a zh a r l u u
ажатчыл	a zh a t tsh ih l
ажы	a zh ih
ажыбай	a zh ih w a j
